date,branch,department,total_beds,occupied_beds,total_icu_beds,occupied_icu_beds,staff_on_duty
2024-04-07,Branch C,Orthopedics,97,64,19,16,16
2024-04-07,Branch C,Pediatrics,117,74,23,21,27
2024-04-07,Branch C,Emergency,103,72,20,13,24
2024-04-07,Branch C,General Medicine,46,46,9,8,18
2024-04-08,Branch A,Cardiology,109,80,21,12,30
2024-04-08,Branch A,Oncology,119,90,23,23,25
2024-04-08,Branch A,Orthopedics,57,46,11,11,30
2024-04-08,Branch A,Pediatrics,48,30,9,3,33
2024-04-08,Branch A,Emergency,108,64,21,12,32
2024-04-08,Branch A,General Medicine,101,79,20,20,32
2024-04-08,Branch B,Cardiology,50,50,10,8,32
2024-04-08,Branch B,Oncology,91,58,18,10,39
2024-04-08,Branch B,Orthopedics,46,30,9,6,32
2024-04-08,Branch B,Pediatrics,88,62,17,13,25
2024-04-08,Branch B,Emergency,46,46,9,5,11
2024-04-08,Branch B,General Medicine,53,47,10,9,14
2024-04-08,Branch C,Cardiology,91,65,18,13,39
2024-04-08,Branch C,Oncology,44,44,8,8,15
2024-04-08,Branch C,Orthopedics,92,78,18,14,22
2024-04-08,Branch C,Pediatrics,107,84,21,13,36
2024-04-08,Branch C,Emergency,91,70,18,9,36
2024-04-08,Branch C,General Medicine,107,69,21,12,34
2024-04-09,Branch A,Cardiology,62,44,12,7,10
2024-04-09,Branch A,Oncology,119,86,23,21,32
2024-04-09,Branch A,Orthopedics,109,99,21,21,16
2024-04-09,Branch A,Pediatrics,106,84,21,17,18
2024-04-09,Branch A,Emergency,77,64,15,12,25
2024-04-09,Branch A,General Medicine,89,64,17,11,29
2024-04-09,Branch B,Cardiology,118,86,23,16,10
2024-04-09,Branch B,Oncology,116,89,23,15,27
2024-04-09,Branch B,Orthopedics,95,95,19,13,21
2024-04-09,Branch B,Pediatrics,78,71,15,11,30
2024-04-09,Branch B,Emergency,113,81,22,9,13
2024-04-09,Branch B,General Medicine,109,85,21,18,11
2024-04-09,Branch C,Cardiology,96,74,19,14,22
2024-04-09,Branch C,Oncology,99,73,19,13,37
2024-04-09,Branch C,Orthopedics,93,54,18,13,12
2024-04-09,Branch C,Pediatrics,96,96,19,12,34
2024-04-09,Branch C,Emergency,45,45,9,6,11
2024-04-09,Branch C,General Medicine,67,46,13,12,30
2024-04-10,Branch A,Cardiology,80,71,16,14,17
2024-04-10,Branch A,Oncology,82,45,16,10,23
2024-04-10,Branch A,Orthopedics,83,67,16,9,19
2024-04-10,Branch A,Pediatrics,67,44,13,4,36
2024-04-10,Branch A,Emergency,42,28,8,7,38
2024-04-10,Branch A,General Medicine,56,34,11,9,39
2024-04-10,Branch B,Cardiology,63,52,12,8,29
2024-04-10,Branch B,Oncology,115,84,23,14,18
2024-04-10,Branch B,Orthopedics,92,67,18,18,14
2024-04-10,Branch B,Pediatrics,113,81,22,9,20
2024-04-10,Branch B,Emergency,76,52,15,8,19
2024-04-10,Branch B,General Medicine,63,54,12,8,34
2024-04-10,Branch C,Cardiology,98,78,19,15,10
2024-04-10,Branch C,Oncology,47,26,9,9,16
2024-04-10,Branch C,Orthopedics,102,84,20,13,18
2024-04-10,Branch C,Pediatrics,71,56,14,14,30
2024-04-10,Branch C,Emergency,113,73,22,16,21
2024-04-10,Branch C,General Medicine,110,98,22,19,14
2024-04-11,Branch A,Cardiology,105,81,21,21,14
2024-04-11,Branch A,Oncology,111,80,22,17,11
2024-04-11,Branch A,Orthopedics,73,42,14,7,39
2024-04-11,Branch A,Pediatrics,49,27,9,6,21
2024-04-11,Branch A,Emergency,45,25,9,9,29
2024-04-11,Branch A,General Medicine,44,39,8,8,31
2024-04-11,Branch B,Cardiology,85,63,17,8,37
2024-04-11,Branch B,Oncology,67,54,13,11,14
2024-04-11,Branch B,Orthopedics,74,50,14,10,20
2024-04-11,Branch B,Pediatrics,101,73,20,15,33
2024-04-11,Branch B,Emergency,82,63,16,14,15
2024-04-11,Branch B,General Medicine,100,83,20,18,33
2024-04-11,Branch C,Cardiology,61,61,12,7,25
2024-04-11,Branch C,Oncology,60,39,12,10,36
2024-04-11,Branch C,Orthopedics,45,31,9,9,18
2024-04-11,Branch C,Pediatrics,64,55,12,10,17
2024-04-11,Branch C,Emergency,82,60,16,16,20
2024-04-11,Branch C,General Medicine,99,64,19,12,29
2024-04-12,Branch A,Cardiology,70,70,14,14,21
2024-04-12,Branch A,Oncology,80,58,16,11,39
2024-04-12,Branch A,Orthopedics,41,34,8,4,31
2024-04-12,Branch A,Pediatrics,62,47,12,12,33
2024-04-12,Branch A,Emergency,49,23,9,7,33
2024-04-12,Branch A,General Medicine,108,87,21,16,11
2024-04-12,Branch B,Cardiology,73,43,14,10,34
2024-04-12,Branch B,Oncology,70,59,14,9,17
2024-04-12,Branch B,Orthopedics,91,69,18,12,33
2024-04-12,Branch B,Pediatrics,82,33,16,11,29
2024-04-12,Branch B,Emergency,108,95,21,16,24
2024-04-12,Branch B,General Medicine,109,58,21,17,10
2024-04-12,Branch C,Cardiology,63,62,12,6,37
2024-04-12,Branch C,Oncology,40,20,8,7,32
2024-04-12,Branch C,Orthopedics,73,58,14,9,39
2024-04-12,Branch C,Pediatrics,100,86,20,19,29
2024-04-12,Branch C,Emergency,105,88,21,16,33
2024-04-12,Branch C,General Medicine,66,66,13,13,28
2024-04-13,Branch A,Cardiology,98,73,19,14,32
2024-04-13,Branch A,Oncology,76,52,15,7,22
2024-04-13,Branch A,Orthopedics,63,47,12,10,35
2024-04-13,Branch A,Pediatrics,119,92,23,19,29
2024-04-13,Branch A,Emergency,59,51,11,3,37
2024-04-13,Branch A,General Medicine,83,65,16,15,28
2024-04-13,Branch B,Cardiology,80,57,16,13,21
2024-04-13,Branch B,Oncology,92,68,18,14,14
2024-04-13,Branch B,Orthopedics,42,42,8,6,22
2024-04-13,Branch B,Pediatrics,78,47,15,14,35
2024-04-13,Branch B,Emergency,48,48,9,4,11
2024-04-13,Branch B,General Medicine,46,30,9,3,38
2024-04-13,Branch C,Cardiology,91,72,18,13,24
2024-04-13,Branch C,Oncology,102,83,20,17,13
2024-04-13,Branch C,Orthopedics,106,70,21,15,21
2024-04-13,Branch C,Pediatrics,41,26,8,8,33
2024-04-13,Branch C,Emergency,108,69,21,14,26
2024-04-13,Branch C,General Medicine,113,101,22,17,21
2024-04-14,Branch A,Cardiology,114,83,22,18,14
2024-04-14,Branch A,Oncology,49,37,9,3,16
2024-04-14,Branch A,Orthopedics,114,88,22,22,35
2024-04-14,Branch A,Pediatrics,110,86,22,16,39
2024-04-14,Branch A,Emergency,86,65,17,13,25
2024-04-14,Branch A,General Medicine,89,64,17,17,26
2024-04-14,Branch B,Cardiology,98,71,19,15,15
2024-04-14,Branch B,Oncology,47,38,9,4,21
2024-04-14,Branch B,Orthopedics,53,53,10,4,12
2024-04-14,Branch B,Pediatrics,92,84,18,17,17
2024-04-14,Branch B,Emergency,101,73,20,17,31
2024-04-14,Branch B,General Medicine,73,47,14,14,11
2024-04-14,Branch C,Cardiology,62,54,12,12,27
2024-04-14,Branch C,Oncology,73,61,14,11,38
2024-04-14,Branch C,Orthopedics,90,74,18,15,28
2024-04-14,Branch C,Pediatrics,56,38,11,4,19
2024-04-14,Branch C,Emergency,78,58,15,14,30
2024-04-14,Branch C,General Medicine,111,76,22,12,14
2024-04-15,Branch A,Cardiology,85,70,17,9,38
2024-04-15,Branch A,Oncology,56,49,11,9,30
2024-04-15,Branch A,Orthopedics,53,43,10,3,31
2024-04-15,Branch A,Pediatrics,57,24,11,11,12
2024-04-15,Branch A,Emergency,82,47,16,13,32
2024-04-15,Branch A,General Medicine,89,50,17,2,39
2024-04-15,Branch B,Cardiology,118,78,23,13,15
2024-04-15,Branch B,Oncology,110,92,22,16,33
2024-04-15,Branch B,Orthopedics,87,80,17,13,21
2024-04-15,Branch B,Pediatrics,63,57,12,9,12
2024-04-15,Branch B,Emergency,88,68,17,17,32
2024-04-15,Branch B,General Medicine,112,92,22,16,13
2024-04-15,Branch C,Cardiology,102,70,20,17,33
2024-04-15,Branch C,Oncology,75,60,15,14,26
2024-04-15,Branch C,Orthopedics,78,78,15,14,31
2024-04-15,Branch C,Pediatrics,69,42,13,12,19
2024-04-15,Branch C,Emergency,106,86,21,15,30
2024-04-15,Branch C,General Medicine,111,68,22,16,17
2024-04-16,Branch A,Cardiology,96,79,19,16,16
2024-04-16,Branch A,Oncology,58,43,11,7,37
2024-04-16,Branch A,Orthopedics,79,64,15,7,26
2024-04-16,Branch A,Pediatrics,71,71,14,10,37
2024-04-16,Branch A,Emergency,69,40,13,7,37
2024-04-16,Branch A,General Medicine,112,84,22,19,27
2024-04-16,Branch B,Cardiology,44,39,8,5,24
2024-04-16,Branch B,Oncology,84,54,16,14,29
2024-04-16,Branch B,Orthopedics,119,83,23,21,15
2024-04-16,Branch B,Pediatrics,72,62,14,9,16
2024-04-16,Branch B,Emergency,86,75,17,17,27
2024-04-16,Branch B,General Medicine,114,76,22,18,16
2024-04-16,Branch C,Cardiology,117,89,23,17,24
2024-04-16,Branch C,Oncology,63,41,12,9,35
2024-04-16,Branch C,Orthopedics,87,79,17,11,13
2024-04-16,Branch C,Pediatrics,76,46,15,12,15
2024-04-16,Branch C,Emergency,115,93,23,17,28
2024-04-16,Branch C,General Medicine,61,47,12,12,13
2024-04-17,Branch A,Cardiology,58,46,11,11,15
2024-04-17,Branch A,Oncology,104,64,20,11,38
2024-04-17,Branch A,Orthopedics,65,42,13,12,10
2024-04-17,Branch A,Pediatrics,43,34,8,0,16
2024-04-17,Branch A,Emergency,43,32,8,6,35
2024-04-17,Branch A,General Medicine,91,68,18,16,39
2024-04-17,Branch B,Cardiology,55,48,11,7,11
2024-04-17,Branch B,Oncology,62,50,12,3,20
2024-04-17,Branch B,Orthopedics,95,66,19,14,31
2024-04-17,Branch B,Pediatrics,61,59,12,8,32
2024-04-17,Branch B,Emergency,59,33,11,10,13
2024-04-17,Branch B,General Medicine,91,58,18,17,25
2024-04-17,Branch C,Cardiology,114,83,22,22,35
2024-04-17,Branch C,Oncology,115,72,23,21,34
2024-04-17,Branch C,Orthopedics,119,109,23,17,29
2024-04-17,Branch C,Pediatrics,115,93,23,18,24
2024-04-17,Branch C,Emergency,95,63,19,19,20
2024-04-17,Branch C,General Medicine,55,44,11,11,19
2024-04-18,Branch A,Cardiology,62,41,12,4,20
2024-04-18,Branch A,Oncology,109,76,21,16,33
2024-04-18,Branch A,Orthopedics,105,83,21,18,35
2024-04-18,Branch A,Pediatrics,73,54,14,6,32
2024-04-18,Branch A,Emergency,64,55,12,12,19
2024-04-18,Branch A,General Medicine,48,34,9,8,19
2024-04-18,Branch B,Cardiology,107,93,21,15,13
2024-04-18,Branch B,Oncology,97,64,19,17,14
2024-04-18,Branch B,Orthopedics,95,70,19,16,23
2024-04-18,Branch B,Pediatrics,103,72,20,17,38
2024-04-18,Branch B,Emergency,55,31,11,8,20
2024-04-18,Branch B,General Medicine,79,56,15,12,13
2024-04-18,Branch C,Cardiology,119,94,23,18,26
2024-04-18,Branch C,Oncology,68,57,13,9,23
2024-04-18,Branch C,Orthopedics,81,72,16,10,24
2024-04-18,Branch C,Pediatrics,66,46,13,12,17
2024-04-18,Branch C,Emergency,89,53,17,7,20
2024-04-18,Branch C,General Medicine,71,61,14,10,25
2024-04-19,Branch A,Cardiology,90,78,18,18,39
2024-04-19,Branch A,Oncology,79,43,15,15,13
2024-04-19,Branch A,Orthopedics,110,69,22,15,37
2024-04-19,Branch A,Pediatrics,119,76,23,22,35
2024-04-19,Branch A,Emergency,44,37,8,8,28
2024-04-19,Branch A,General Medicine,47,20,9,2,28
2024-04-19,Branch B,Cardiology,46,13,9,4,14
2024-04-19,Branch B,Oncology,66,39,13,10,30
2024-04-19,Branch B,Orthopedics,71,64,14,12,20
2024-04-19,Branch B,Pediatrics,67,67,13,10,21
2024-04-19,Branch B,Emergency,96,74,19,11,21
2024-04-19,Branch B,General Medicine,112,88,22,22,28
2024-04-19,Branch C,Cardiology,42,40,8,6,34
2024-04-19,Branch C,Oncology,87,69,17,9,10
2024-04-19,Branch C,Orthopedics,94,65,18,18,20
2024-04-19,Branch C,Pediatrics,103,71,20,18,18
2024-04-19,Branch C,Emergency,58,58,11,11,15
2024-04-19,Branch C,General Medicine,41,41,8,8,27
2024-04-20,Branch A,Cardiology,60,60,12,3,21
2024-04-20,Branch A,Oncology,62,35,12,9,38
2024-04-20,Branch A,Orthopedics,115,101,23,21,33
2024-04-20,Branch A,Pediatrics,76,56,15,12,20
2024-04-20,Branch A,Emergency,51,41,10,9,16
2024-04-20,Branch A,General Medicine,94,62,18,15,21
2024-04-20,Branch B,Cardiology,77,52,15,10,37
2024-04-20,Branch B,Oncology,48,22,9,8,22
2024-04-20,Branch B,Orthopedics,63,32,12,6,13
2024-04-20,Branch B,Pediatrics,112,80,22,15,35
2024-04-20,Branch B,Emergency,42,34,8,8,30
2024-04-20,Branch B,General Medicine,92,44,18,14,14
2024-04-20,Branch C,Cardiology,48,38,9,4,24
2024-04-20,Branch C,Oncology,80,59,16,10,26
2024-04-20,Branch C,Orthopedics,113,92,22,14,34
2024-04-20,Branch C,Pediatrics,83,61,16,12,18
2024-04-20,Branch C,Emergency,103,78,20,8,16
2024-04-20,Branch C,General Medicine,45,30,9,6,18
2024-04-21,Branch A,Cardiology,109,73,21,11,37
2024-04-21,Branch A,Oncology,46,39,9,9,11
2024-04-21,Branch A,Orthopedics,69,62,13,9,21
2024-04-21,Branch A,Pediatrics,113,81,22,18,11
2024-04-21,Branch A,Emergency,89,68,17,17,22
2024-04-21,Branch A,General Medicine,104,84,20,16,20
2024-04-21,Branch B,Cardiology,102,87,20,16,12
2024-04-21,Branch B,Oncology,69,43,13,7,26
2024-04-21,Branch B,Orthopedics,92,84,18,17,15
2024-04-21,Branch B,Pediatrics,52,22,10,8,18
2024-04-21,Branch B,Emergency,80,55,16,12,33
2024-04-21,Branch B,General Medicine,86,80,17,11,14
2024-04-21,Branch C,Cardiology,111,85,22,17,27
2024-04-21,Branch C,Oncology,58,43,11,7,31
2024-04-21,Branch C,Orthopedics,65,40,13,13,19
2024-04-21,Branch C,Pediatrics,108,92,21,10,26
2024-04-21,Branch C,Emergency,48,40,9,4,12
2024-04-21,Branch C,General Medicine,96,69,19,19,14
2024-04-22,Branch A,Cardiology,87,60,17,12,30
2024-04-22,Branch A,Oncology,45,38,9,1,31
2024-04-22,Branch A,Orthopedics,54,6,10,8,37
2024-04-22,Branch A,Pediatrics,77,39,15,13,13
2024-04-22,Branch A,Emergency,42,38,8,7,30
2024-04-22,Branch A,General Medicine,110,75,22,17,18
2024-04-22,Branch B,Cardiology,108,83,21,21,14
2024-04-22,Branch B,Oncology,75,67,15,12,23
2024-04-22,Branch B,Orthopedics,46,43,9,9,25
2024-04-22,Branch B,Pediatrics,104,79,20,17,20
2024-04-22,Branch B,Emergency,105,74,21,20,31
2024-04-22,Branch B,General Medicine,44,41,8,7,24
2024-04-22,Branch C,Cardiology,44,35,8,5,36
2024-04-22,Branch C,Oncology,58,49,11,9,20
2024-04-22,Branch C,Orthopedics,118,82,23,17,14
2024-04-22,Branch C,Pediatrics,72,72,14,13,25
2024-04-22,Branch C,Emergency,112,76,22,17,34
2024-04-22,Branch C,General Medicine,52,34,10,7,14
2024-04-23,Branch A,Cardiology,115,88,23,23,10
2024-04-23,Branch A,Oncology,40,35,8,5,34
2024-04-23,Branch A,Orthopedics,102,69,20,15,10
2024-04-23,Branch A,Pediatrics,85,65,17,12,38
2024-04-23,Branch A,Emergency,42,42,8,4,39
2024-04-23,Branch A,General Medicine,49,39,9,5,15
2024-04-23,Branch B,Cardiology,58,32,11,11,23
2024-04-23,Branch B,Oncology,78,53,15,11,10
2024-04-23,Branch B,Orthopedics,115,80,23,14,35
2024-04-23,Branch B,Pediatrics,102,78,20,14,20
2024-04-23,Branch B,Emergency,70,54,14,10,25
2024-04-23,Branch B,General Medicine,114,87,22,17,29
2024-04-23,Branch C,Cardiology,70,57,14,14,39
2024-04-23,Branch C,Oncology,58,40,11,11,20
2024-04-23,Branch C,Orthopedics,112,85,22,18,13
2024-04-23,Branch C,Pediatrics,42,31,8,3,18
2024-04-23,Branch C,Emergency,71,67,14,13,15
2024-04-23,Branch C,General Medicine,91,71,18,8,31
2024-04-24,Branch A,Cardiology,91,73,18,16,16
2024-04-24,Branch A,Oncology,47,29,9,7,10
2024-04-24,Branch A,Orthopedics,118,79,23,20,21
2024-04-24,Branch A,Pediatrics,65,52,13,9,15
2024-04-24,Branch A,Emergency,48,31,9,7,13
2024-04-24,Branch A,General Medicine,99,99,19,18,23
2024-04-24,Branch B,Cardiology,47,40,9,6,35
2024-04-24,Branch B,Oncology,74,33,14,7,34
2024-04-24,Branch B,Orthopedics,55,55,11,4,15
2024-04-24,Branch B,Pediatrics,79,65,15,9,11
2024-04-24,Branch B,Emergency,91,63,18,18,27
2024-04-24,Branch B,General Medicine,47,35,9,9,23
2024-04-24,Branch C,Cardiology,88,53,17,14,31
2024-04-24,Branch C,Oncology,50,50,10,3,13
2024-04-24,Branch C,Orthopedics,92,69,18,17,13
2024-04-24,Branch C,Pediatrics,55,35,11,9,32
2024-04-24,Branch C,Emergency,94,73,18,12,35
2024-04-24,Branch C,General Medicine,77,69,15,15,31
2024-04-25,Branch A,Cardiology,76,45,15,10,20
2024-04-25,Branch A,Oncology,49,38,9,7,11
2024-04-25,Branch A,Orthopedics,104,72,20,16,38
2024-04-25,Branch A,Pediatrics,73,43,14,10,16
2024-04-25,Branch A,Emergency,57,37,11,4,33
2024-04-25,Branch A,General Medicine,68,60,13,13,36
2024-04-25,Branch B,Cardiology,61,43,12,9,13
2024-04-25,Branch B,Oncology,52,52,10,7,33
2024-04-25,Branch B,Orthopedics,72,70,14,12,14
2024-04-25,Branch B,Pediatrics,48,36,9,6,19
2024-04-25,Branch B,Emergency,88,61,17,17,26
2024-04-25,Branch B,General Medicine,77,56,15,12,19
2024-04-25,Branch C,Cardiology,44,44,8,8,18
2024-04-25,Branch C,Oncology,87,68,17,8,20
2024-04-25,Branch C,Orthopedics,84,67,16,10,38
2024-04-25,Branch C,Pediatrics,85,58,17,17,10
2024-04-25,Branch C,Emergency,79,55,15,13,20
2024-04-25,Branch C,General Medicine,110,85,22,12,10
2024-04-26,Branch A,Cardiology,66,53,13,12,14
2024-04-26,Branch A,Oncology,53,53,10,6,18
2024-04-26,Branch A,Orthopedics,61,44,12,8,21
2024-04-26,Branch A,Pediatrics,97,96,19,12,25
2024-04-26,Branch A,Emergency,57,37,11,7,38
2024-04-26,Branch A,General Medicine,77,51,15,15,20
2024-04-26,Branch B,Cardiology,94,88,18,11,32
2024-04-26,Branch B,Oncology,106,94,21,20,15
2024-04-26,Branch B,Orthopedics,67,51,13,9,32
2024-04-26,Branch B,Pediatrics,118,79,23,23,39
2024-04-26,Branch B,Emergency,79,51,15,9,23
2024-04-26,Branch B,General Medicine,92,67,18,15,37
2024-04-26,Branch C,Cardiology,78,51,15,11,32
2024-04-26,Branch C,Oncology,108,89,21,17,24
2024-04-26,Branch C,Orthopedics,56,38,11,10,14
2024-04-26,Branch C,Pediatrics,113,88,22,20,36
2024-04-26,Branch C,Emergency,110,82,22,15,21
2024-04-26,Branch C,General Medicine,92,68,18,14,23
2024-04-27,Branch A,Cardiology,90,67,18,10,29
2024-04-27,Branch A,Oncology,107,78,21,19,13
2024-04-27,Branch A,Orthopedics,47,21,9,5,25
2024-04-27,Branch A,Pediatrics,117,88,23,23,11
2024-04-27,Branch A,Emergency,119,83,23,22,15
2024-04-27,Branch A,General Medicine,54,42,10,5,32
2024-04-27,Branch B,Cardiology,119,86,23,18,21
2024-04-27,Branch B,Oncology,91,59,18,12,36
2024-04-27,Branch B,Orthopedics,73,61,14,12,38
2024-04-27,Branch B,Pediatrics,103,68,20,12,32
2024-04-27,Branch B,Emergency,68,52,13,6,20
2024-04-27,Branch B,General Medicine,89,84,17,15,18
2024-04-27,Branch C,Cardiology,61,40,12,5,29
2024-04-27,Branch C,Oncology,64,38,12,6,29
2024-04-27,Branch C,Orthopedics,41,41,8,8,13
2024-04-27,Branch C,Pediatrics,52,24,10,6,36
2024-04-27,Branch C,Emergency,47,47,9,6,22
2024-04-27,Branch C,General Medicine,63,53,12,12,39
2024-04-28,Branch A,Cardiology,50,34,10,6,19
2024-04-28,Branch A,Oncology,94,77,18,13,26
2024-04-28,Branch A,Orthopedics,80,46,16,13,20
2024-04-28,Branch A,Pediatrics,86,58,17,6,36
2024-04-28,Branch A,Emergency,76,76,15,10,14
2024-04-28,Branch A,General Medicine,110,75,22,17,33
2024-04-28,Branch B,Cardiology,95,60,19,16,28
2024-04-28,Branch B,Oncology,100,64,20,20,10
2024-04-28,Branch B,Orthopedics,95,76,19,12,24
2024-04-28,Branch B,Pediatrics,59,35,11,7,21
2024-04-28,Branch B,Emergency,56,51,11,4,35
2024-04-28,Branch B,General Medicine,42,21,8,3,12
2024-04-28,Branch C,Cardiology,54,39,10,10,29
2024-04-28,Branch C,Oncology,112,101,22,14,36
2024-04-28,Branch C,Orthopedics,95,63,19,16,35
2024-04-28,Branch C,Pediatrics,106,91,21,17,39
2024-04-28,Branch C,Emergency,115,71,23,21,26
2024-04-28,Branch C,General Medicine,95,70,19,16,25
2024-04-29,Branch A,Cardiology,111,88,22,17,19
2024-04-29,Branch A,Oncology,110,107,22,21,35
2024-04-29,Branch A,Orthopedics,109,85,21,18,13
2024-04-29,Branch A,Pediatrics,115,90,23,16,12
2024-04-29,Branch A,Emergency,40,20,8,7,27
2024-04-29,Branch A,General Medicine,94,72,18,15,21
2024-04-29,Branch B,Cardiology,77,47,15,14,17
2024-04-29,Branch B,Oncology,69,59,13,13,20
2024-04-29,Branch B,Orthopedics,107,82,21,21,14
2024-04-29,Branch B,Pediatrics,64,47,12,6,30
2024-04-29,Branch B,Emergency,105,81,21,9,13
2024-04-29,Branch B,General Medicine,103,56,20,13,24
2024-04-29,Branch C,Cardiology,107,63,21,14,19
2024-04-29,Branch C,Oncology,57,41,11,8,18
2024-04-29,Branch C,Orthopedics,60,60,12,4,32
2024-04-29,Branch C,Pediatrics,69,68,13,13,19
2024-04-29,Branch C,Emergency,107,91,21,20,18
2024-04-29,Branch C,General Medicine,82,62,16,7,26
2024-04-30,Branch A,Cardiology,86,63,17,8,32
2024-04-30,Branch A,Oncology,57,57,11,11,36
2024-04-30,Branch A,Orthopedics,113,83,22,15,18
2024-04-30,Branch A,Pediatrics,80,63,16,12,28
2024-04-30,Branch A,Emergency,40,23,8,5,36
2024-04-30,Branch A,General Medicine,102,85,20,8,34
2024-04-30,Branch B,Cardiology,103,99,20,15,15
2024-04-30,Branch B,Oncology,75,61,15,10,28
2024-04-30,Branch B,Orthopedics,81,55,16,11,16
2024-04-30,Branch B,Pediatrics,43,28,8,5,33
2024-04-30,Branch B,Emergency,47,47,9,7,27
2024-04-30,Branch B,General Medicine,95,76,19,16,16
2024-04-30,Branch C,Cardiology,84,56,16,4,10
2024-04-30,Branch C,Oncology,60,57,12,8,38
2024-04-30,Branch C,Orthopedics,69,69,13,7,35
2024-04-30,Branch C,Pediatrics,57,40,11,1,24
2024-04-30,Branch C,Emergency,118,86,23,22,19
2024-04-30,Branch C,General Medicine,83,57,16,9,38
2024-05-01,Branch A,Cardiology,119,97,23,17,32
2024-05-01,Branch A,Oncology,96,75,19,16,35
2024-05-01,Branch A,Orthopedics,76,76,15,10,37
2024-05-01,Branch A,Pediatrics,76,46,15,8,38
2024-05-01,Branch A,Emergency,89,70,17,12,16
2024-05-01,Branch A,General Medicine,79,66,15,12,26
2024-05-01,Branch B,Cardiology,65,59,13,12,20
2024-05-01,Branch B,Oncology,92,71,18,16,28
2024-05-01,Branch B,Orthopedics,112,77,22,22,25
2024-05-01,Branch B,Pediatrics,50,25,10,10,13
2024-05-01,Branch B,Emergency,84,56,16,15,14
2024-05-01,Branch B,General Medicine,108,73,21,16,18
2024-05-01,Branch C,Cardiology,58,47,11,10,31
2024-05-01,Branch C,Oncology,76,67,15,7,12
2024-05-01,Branch C,Orthopedics,42,21,8,1,28
2024-05-01,Branch C,Pediatrics,112,85,22,19,34
2024-05-01,Branch C,Emergency,93,66,18,10,36
2024-05-01,Branch C,General Medicine,93,78,18,18,26
2024-05-02,Branch A,Cardiology,58,45,11,4,29
2024-05-02,Branch A,Oncology,102,73,20,14,30
2024-05-02,Branch A,Orthopedics,98,71,19,13,18
2024-05-02,Branch A,Pediatrics,70,65,14,6,23
2024-05-02,Branch A,Emergency,112,106,22,21,15
2024-05-02,Branch A,General Medicine,110,85,22,16,36
2024-05-02,Branch B,Cardiology,71,46,14,14,34
2024-05-02,Branch B,Oncology,57,57,11,4,14
2024-05-02,Branch B,Orthopedics,94,72,18,12,19
2024-05-02,Branch B,Pediatrics,42,36,8,8,12
2024-05-02,Branch B,Emergency,97,78,19,9,39
2024-05-02,Branch B,General Medicine,88,72,17,14,34
2024-05-02,Branch C,Cardiology,49,31,9,7,36
2024-05-02,Branch C,Oncology,80,64,16,14,24
2024-05-02,Branch C,Orthopedics,45,41,9,7,14
2024-05-02,Branch C,Pediatrics,51,31,10,10,13
2024-05-02,Branch C,Emergency,44,35,8,8,18
2024-05-02,Branch C,General Medicine,119,99,23,18,19
2024-05-03,Branch A,Cardiology,87,53,17,17,15
2024-05-03,Branch A,Oncology,113,93,22,21,24
2024-05-03,Branch A,Orthopedics,60,46,12,6,31
2024-05-03,Branch A,Pediatrics,64,51,12,7,10
2024-05-03,Branch A,Emergency,109,81,21,13,34
2024-05-03,Branch A,General Medicine,59,33,11,9,28
2024-05-03,Branch B,Cardiology,106,71,21,19,29
2024-05-03,Branch B,Oncology,73,59,14,13,37
2024-05-03,Branch B,Orthopedics,62,45,12,12,25
2024-05-03,Branch B,Pediatrics,105,70,21,20,18
2024-05-03,Branch B,Emergency,105,85,21,16,37
2024-05-03,Branch B,General Medicine,70,68,14,10,34
2024-05-03,Branch C,Cardiology,53,38,10,10,14
2024-05-03,Branch C,Oncology,96,54,19,14,12
2024-05-03,Branch C,Orthopedics,82,63,16,16,31
2024-05-03,Branch C,Pediatrics,69,57,13,11,30
2024-05-03,Branch C,Emergency,112,92,22,18,27
2024-05-03,Branch C,General Medicine,66,40,13,12,20
2024-05-04,Branch A,Cardiology,99,80,19,16,22
2024-05-04,Branch A,Oncology,113,95,22,13,33
2024-05-04,Branch A,Orthopedics,116,77,23,21,23
2024-05-04,Branch A,Pediatrics,65,39,13,12,36
2024-05-04,Branch A,Emergency,101,76,20,15,20
2024-05-04,Branch A,General Medicine,95,63,19,13,15
2024-05-04,Branch B,Cardiology,115,89,23,18,34
2024-05-04,Branch B,Oncology,97,78,19,17,17
2024-05-04,Branch B,Orthopedics,85,65,17,11,39
2024-05-04,Branch B,Pediatrics,59,35,11,11,37
2024-05-04,Branch B,Emergency,41,26,8,8,36
2024-05-04,Branch B,General Medicine,70,40,14,14,16
2024-05-04,Branch C,Cardiology,102,93,20,14,37
2024-05-04,Branch C,Oncology,43,38,8,6,32
2024-05-04,Branch C,Orthopedics,70,63,14,8,31
2024-05-04,Branch C,Pediatrics,48,37,9,6,23
2024-05-04,Branch C,Emergency,118,98,23,19,27
2024-05-04,Branch C,General Medicine,109,86,21,11,16
2024-05-05,Branch A,Cardiology,73,52,14,9,21
2024-05-05,Branch A,Oncology,54,41,10,2,15
2024-05-05,Branch A,Orthopedics,80,54,16,12,30
2024-05-05,Branch A,Pediatrics,44,29,8,2,21
2024-05-05,Branch A,Emergency,47,14,9,4,11
2024-05-05,Branch A,General Medicine,87,76,17,12,26
2024-05-05,Branch B,Cardiology,80,59,16,14,17
2024-05-05,Branch B,Oncology,42,20,8,8,17
